CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG
01-1-000227,68.0673,147.112,68.061,147.099,27.3988,0.486096,27.8575,26.4601,0.312743,1.05281,161.498,0.00257457,0.00545221,0.143989,0.211022,3.8883,0.0274157,0.0100055,0.659024,184
01-1-000228,68.9017,147.525,68.9105,147.532,15.8494,0.539292,17.3732,13.8848,0.601053,1.25124,6.48472,0.000847803,0.0022364,0.0571516,0.061928,0.823725,0.0058895,0.00693442,0.827423,149
01-1-000229,69.22,148.776,69.2223,148.77,13.5342,0.517868,14.4422,12.3936,0.513397,1.1653,62.9499,0.00121693,0.0032328,0.0853331,0.0888077,1.99155,0.0133221,0.0108227,0.886154,139
01-1-000230,69.6442,147.167,69.6444,147.168,14.5619,0.737097,16.1072,13.0362,0.587334,1.23557,133.927,0.00131067,0.00361068,0.102786,0.0872045,1.4195,0.0103107,0.0114228,1,169
01-1-000231,67.684,143.304,67.6841,143.307,28.8542,1.0792,30.8256,26.8278,0.492505,1.14902,107.444,0.00178402,0.00396527,0.121774,0.111661,1.51119,0.00882525,0.00659351,0.909501,310
01-1-000232,65.249,138.147,65.2644,138.177,19.3683,0.785652,22.4665,17.6739,0.617361,1.27116,36.407,0.00296942,0.00588729,0.244006,0.107892,1.59523,0.0124893,0.0158374,0.792505,166
01-1-000233,66.1324,139.168,66.1296,139.184,46.3725,0.65828,47.1296,45.147,0.286996,1.04392,52.8526,0.00101102,0.0035431,0.0741315,0.102201,2.1106,0.00881373,0.00287761,0.824212,403
01-1-000234,66.9412,140.714,66.9364,140.719,17.5241,0.321878,18.4957,16.7948,0.418891,1.10128,102.913,0.00163149,0.00226279,0.0937252,0.0625824,2.45732,0.012381,0.00692702,0.748581,141
01-1-000235,66.3962,136.636,66.3959,136.636,33.1437,0.931789,34.8908,31.368,0.437879,1.11231,28.4948,0.00113622,0.00294778,0.0880039,0.081843,1.15675,0.00669854,0.00403651,1,393
01-1-000236,61.5407,131.257,61.5386,131.249,20.7742,0.739295,22.1218,19.5198,0.470544,1.1333,29.2323,0.00150179,0.00343659,0.134342,0.105066,1.94708,0.0134273,0.00919659,0.920441,222
01-1-000237,62.7125,127.184,62.7125,127.184,16.7885,0.169938,17.0927,16.4752,0.266372,1.03748,114.869,0.000457677,0.000990484,0.0345626,0.0336712,2.53142,0.0100274,0.00298277,1,187
01-1-000238,63.1831,128.791,63.1806,128.791,9.53976,0.250301,10.184,9.06116,0.456461,1.12392,61.4445,0.000908335,0.00127842,0.0626382,0.0423134,2.37845,0.0133932,0.00867947,0.830601,85
01-1-000239,63.7156,130.567,63.7199,130.565,11.7272,0.28257,12.5292,11.1819,0.451109,1.12049,123.198,0.000937449,0.00114326,0.0634489,0.0378531,1.89403,0.0107552,0.00682529,0.793059,82
01-1-000240,63.8883,127.699,63.9021,127.702,23.8869,0.842275,25.4667,23.1286,0.418555,1.10109,98.5929,0.00485493,0.00493559,0.344203,0.143076,4.50636,0.0292917,0.0163668,0.759561,176
01-1-000241,64.0688,130.902,64.0751,130.913,18.3713,0.614984,19.0981,16.7865,0.476894,1.13771,157.939,0.00164552,0.00311645,0.0858173,0.12922,2.2044,0.0144398,0.0101408,0.680881,120
01-1-000242,64.8544,130.402,64.8536,130.421,20.7381,0.448363,22.0503,19.8501,0.435443,1.11084,165.223,0.00117873,0.00589302,0.146313,0.0839473,2.79357,0.0146439,0.00874069,0.751473,133
01-1-000243,65.2491,135.363,65.2498,135.366,24.9462,0.661386,25.3597,24.4659,0.263148,1.03653,10.8223,0.00190073,0.00505857,0.163465,0.135405,7.68047,0.0300498,0.00880622,0.898969,212
01-1-000244,67.3065,136.018,67.3064,136.018,14.8125,0.151944,14.8338,14.7785,0.0862922,1.00374,7.32882,0.000474265,0.00122904,0.0350117,0.0349844,29.999,0.0384503,0.00335537,1,159
01-1-000245,67.2669,137.488,67.2671,137.485,14.2803,0.30469,14.437,14.1174,0.20923,1.02263,7.96909,0.00116216,0.00386769,0.113522,0.0856987,14.0867,0.0453995,0.0101587,0.852697,115
01-1-000246,68.5762,143.023,68.5751,143.029,25.6245,1.00318,27.434,23.7883,0.498121,1.15326,49.2634,0.00167061,0.00456823,0.127042,0.113437,1.64509,0.0100333,0.00766585,0.989376,259
01-1-000247,69.9777,146.126,69.9585,146.122,14.1397,0.523462,16.1057,13.2714,0.566565,1.21357,74.9858,0.00462934,0.0044065,0.303707,0.109329,3.00441,0.0246619,0.0249729,0.771047,110
01-1-000248,69.7729,146.272,69.7704,146.286,11.633,0.153346,12.0755,11.2937,0.353986,1.06923,7.37685,0.00454789,0.0125697,0.277422,0.220099,11.9738,0.0744423,0.0322123,0.624313,63
01-1-000249,70.9731,153.544,70.9749,153.528,13.2628,0.474383,14.4424,11.7247,0.583899,1.23179,62.0547,0.000716247,0.00231652,0.0540943,0.0569105,0.908399,0.00692022,0.00755212,0.867111,119
01-1-000250,70.1293,151.609,70.1229,151.608,16.7226,0.499838,17.7097,15.3038,0.503236,1.15721,160.705,0.00104884,0.00219262,0.0553382,0.0695414,1.33292,0.00818334,0.00638171,0.806668,124
01-1-000251,71.9038,158.315,71.9029,158.347,41.1327,0.758272,42.6182,39.6463,0.366885,1.07496,7.11411,0.0013469,0.00466917,0.102843,0.0956303,1.66851,0.00804796,0.0036677,0.64455,255
01-1-000252,72.4596,156.885,72.4597,156.885,13.0654,0.368366,13.5355,12.5583,0.37307,1.07781,45.1771,0.000937924,0.00309514,0.0708237,0.0670517,3.34112,0.0172494,0.00805741,1,142
01-1-000253,71.8897,160.845,71.8901,160.846,14.1353,0.378024,14.4699,13.7769,0.305778,1.05031,8.49555,0.000897214,0.00306752,0.0715181,0.0665012,4.58176,0.020481,0.00725615,1,151
01-1-000254,72.0462,162.941,72.0465,162.946,10.4509,0.217306,11.041,9.77231,0.465411,1.12982,89.9956,0.000531547,0.00175342,0.0328202,0.0361192,1.55848,0.00798377,0.00535889,0.778893,81
01-1-000255,72.4025,174.798,72.4026,174.798,10.3805,0.143773,10.6859,10.0623,0.336608,1.06197,138.53,0.000312678,0.00102123,0.0232004,0.0228381,1.73507,0.00827376,0.00333553,1,118
01-1-000256,73.036,178.296,73.0372,178.297,12.2787,0.525359,13.5624,10.9953,0.585427,1.23346,100.792,0.000984524,0.00289587,0.0732612,0.0640121,1.20092,0.0089165,0.00979592,0.979699,123
01-1-000257,72.6136,179.963,72.6134,179.964,22.3306,0.632225,23.9261,20.7864,0.495211,1.15105,169.654,0.000902462,0.00341468,0.075833,0.0675023,1.04916,0.00691615,0.00522319,1,221
01-1-000258,72.7807,183.397,72.7807,183.397,13.855,0.0965449,13.8757,13.8298,0.0812568,1.00332,82.6407,0.000299187,0.000989837,0.0223768,0.0217894,22.2699,0.0275627,0.00226203,1,156
01-1-000259,73.5291,185.453,73.5301,185.453,34.062,0.71324,34.6565,33.3807,0.268839,1.03822,167.163,0.00127286,0.00460704,0.0972868,0.0956678,3.45951,0.0138439,0.00416507,1,310
01-1-000260,72.9327,193.192,72.9328,193.192,15.6774,0.144267,15.7563,15.59,0.144878,1.01066,29.5903,0.000429397,0.00146543,0.0320343,0.0313493,9.06236,0.0193234,0.00289006,1,172
01-1-000261,71.9585,193.672,71.9587,193.672,12.0288,0.317887,12.7268,11.2992,0.460186,1.12635,164.538,0.000686264,0.00237446,0.0537384,0.0508939,1.74116,0.010575,0.00695399,1,128
01-1-000262,72.0593,198.801,72.0578,198.786,14.067,0.535874,15.286,12.5382,0.572013,1.21915,123.194,0.00100254,0.00330102,0.074649,0.075918,1.25541,0.00914947,0.00948359,0.898381,124
01-1-000263,71.9239,196.739,71.9238,196.739,10.3964,0.270547,10.9796,9.80234,0.4505,1.1201,60.3919,0.000718215,0.0022121,0.0542906,0.0502773,2.04635,0.0126049,0.00798009,0.975035,109
